City,Country,Lat,Lon,Date,Max Temp,Humidity,Cloudiness,Wind Speed
leresti,RO,45.33,25.07,1571116195,59.0,88.0,19.0,1.01
rikitea,PF,-23.12,-134.97,1571116195,73.58,83.0,15.0,8.76
luba,PH,17.32,120.7,1571116195,88.0,61.0,71.0,6.57
sheffield,GB,53.38,-1.47,1571116195,50.0,93.0,90.0,10.29
teguldet,RU,57.31,88.17,1571116196,58.42,47.0,100.0,13.03
el colomo,MX,20.87,-105.16,1571116196,82.99,88.0,75.0,3.36
ribeira grande,PT,38.52,-28.7,1571116196,63.34,82.0,100.0,21.54
kruisfontein,ZA,-34,24.73,1571116196,64.17,61.0,15.0,9.11
yellowknife,CA,62.45,-114.38,1571116196,30.2,74.0,90.0,10.29
mandalgovi,MN,45.76,106.27,1571116197,43.18,27.0,0.0,8.46
busselton,AU,-33.64,115.35,1571116197,66.99,32.0,86.0,12.81
punta arenas,CL,-53.16,-70.91,1571116197,37.4,86.0,31.0,1.12
nemuro,JP,43.32,145.57,1571116197,50.0,57.0,40.0,8.05
bredasdorp,ZA,-34.53,20.04,1571116198,59.0,87.0,11.0,4.7
saskylakh,RU,71.97,114.09,1571116198,22.51,96.0,94.0,5.26
ushuaia,AR,-54.81,-68.31,1571116198,42.8,70.0,82.0,18.34
atuona,PF,-9.8,-139.03,1571116199,79.84,78.0,5.0,16.6
komsomolskiy,RU,67.55,63.78,1571116199,34.45,90.0,100.0,14.23
lagoa,PT,37.14,-8.45,1571116199,55.99,81.0,0.0,2.24
barrow,AR,-38.31,-60.23,1571116199,37.42,91.0,100.0,4.78
vaini,IN,15.34,74.49,1571116199,77.0,78.0,40.0,5.82
lebu,ET,8.96,38.73,1571116200,57.2,58.0,20.0,2.24
albany,US,42.65,-73.75,1571116200,50.0,61.0,90.0,5.82
mar del plata,AR,-46.43,-67.52,1571116200,43.81,78.0,0.0,2.67
broome,GB,52.47,1.45,1571116201,54.0,87.0,100.0,8.05
leh,IN,34.16,77.58,1571116201,38.59,24.0,0.0,3.57
polunochnoye,RU,60.87,60.43,1571116201,38.91,76.0,93.0,8.06
klaksvik,FO,62.23,-6.59,1571116202,46.4,93.0,0.0,16.11
lorengau,PG,-2.02,147.27,1571116202,84.33,71.0,39.0,10.29
laguna,BZ,16.17,-88.94,1571116202,77.0,94.0,75.0,4.1
castro,CL,-42.48,-73.76,1571116202,48.2,76.0,100.0,2.24
fochville,ZA,-26.49,27.49,1571116203,69.01,45.0,33.0,2.24
catalina,PE,-13.57,-76.13,1571116203,59.0,82.0,0.0,1.51
guepsa,CO,6.03,-73.57,1571116203,54.59,96.0,96.0,2.79
nishihara,JP,35.74,139.53,1571116203,73.99,64.0,90.0,4.7
bluff,AU,-23.58,149.07,1571116204,97.3,14.0,10.0,7.48
cabo san lucas,MX,22.89,-109.91,1571116204,80.01,88.0,40.0,5.82
itoman,JP,26.12,127.67,1571116204,82.4,58.0,1.0,21.92
whitehorse,CA,60.72,-135.06,1571116204,26.6,68.0,90.0,3.36
ekibastuz,KZ,51.72,75.32,1571116205,55.13,46.0,50.0,19.69
carnarvon,ZA,-30.97,22.13,1571116205,60.53,36.0,0.0,16.58
khatanga,RU,71.98,102.47,1571116205,19.92,91.0,61.0,6.28
butaritari,KI,3.07,172.79,1571116205,83.08,72.0,93.0,6.37
hilo,US,19.71,-155.08,1571116206,77.0,78.0,40.0,5.75
north platte,US,41.12,-100.77,1571116206,52.0,49.0,1.0,11.1
selikhino,RU,50.37,137.51,1571116206,40.93,45.0,0.0,11.77
pakxan,LA,18.39,103.66,1571116206,88.27,45.0,79.0,7.25
uchiza,PE,-8.46,-76.46,1571116206,62.06,95.0,82.0,4.05
puerto ayora,EC,-0.74,-90.35,1571116207,66.99,89.0,50.0,1.99
hobart,AU,-42.88,147.33,1571116247,51.8,87.0,75.0,6.93
esperance,AU,-33.86,121.89,1571116247,60.8,59.0,40.0,14.99
morros,BR,-2.87,-44.04,1571116247,78.8,83.0,20.0,9.17
leningradskiy,RU,69.38,178.42,1571116248,33.26,80.0,100.0,12.61
ponta do sol,BR,-20.63,-46,1571116248,66.9,55.0,1.0,2.8
camalu,MX,30.85,-116.07,1571116248,58.05,82.0,0.0,0.8
jamestown,AU,-33.21,138.6,1571116248,66.11,61.0,99.0,2.47
nanortalik,GL,60.14,-45.24,1571116249,36.1,72.0,0.0,6.08
egvekinot,RU,66.32,-179.17,1571116249,27.84,92.0,100.0,5.62
yaan,NG,7.38,8.57,1571116250,73.29,95.0,100.0,8.04
nikolskoye,RU,59.7,30.79,1571116250,36.0,80.0,20.0,6.71
dillon,US,45.22,-112.64,1571116250,34.0,69.0,1.0,3.36
killybegs,IE,54.63,-8.45,1571116250,50.0,97.0,100.0,3.0
provideniya,RU,64.42,-173.23,1571116251,41.0,75.0,75.0,22.37
port lincoln,AU,-34.72,135.86,1571116251,56.07,84.0,99.0,11.03
katsuura,JP,33.93,134.5,1571116251,69.8,52.0,40.0,17.22
tuktoyaktuk,CA,69.44,-133.03,1571116251,23.0,85.0,40.0,6.93
kupang,ID,-10.16,123.6,1571116252,87.8,52.0,20.0,11.41
odda,NO,60.07,6.55,1571116252,48.0,94.0,100.0,7.65
ape,EE,57.54,26.69,1571116253,41.47,91.0,96.0,5.22
kushima,JP,31.5,131.29,1571116253,77.0,53.0,40.0,18.34
hermanus,ZA,-34.42,19.24,1571116253,59.0,83.0,0.0,4.11
cape town,ZA,-33.93,18.42,1571116253,60.01,76.0,23.0,3.36
kodiak,US,39.95,-94.76,1571116253,59.0,81.0,1.0,5.82
tilichiki,RU,60.47,166.1,1571116253,26.69,87.0,0.0,7.65
nador,MA,35.17,-2.93,1571116254,66.2,72.0,20.0,5.82
richards bay,ZA,-28.77,32.06,1571116254,70.12,85.0,53.0,42.17
avera,US,33.19,-82.53,1571116254,69.8,82.0,40.0,3.25
georgetown,GY,6.8,-58.16,1571116254,75.2,94.0,17.0,2.24
manta,RO,45.1,24.1,1571116255,57.52,59.0,50.0,1.93
dikson,RU,73.51,80.55,1571116255,24.73,78.0,98.0,22.07
east london,ZA,-33.02,27.91,1571116255,60.8,72.0,19.0,10.29
arraial do cabo,BR,-22.97,-42.02,1571116255,71.96,93.0,33.0,3.27
vila velha,BR,-3.71,-38.6,1571116256,79.0,78.0,40.0,12.75
clarksburg,US,39.24,-77.28,1571116256,57.2,66.0,1.0,4.69
livanatai,GR,38.72,23.05,1571116256,63.0,87.0,20.0,6.93
kapaa,US,22.08,-159.32,1571116257,80.6,78.0,75.0,13.87
conceicao do araguaia,BR,-8.26,-49.26,1571116257,75.06,74.0,87.0,2.5
ushtobe,KZ,45.25,77.98,1571116257,56.88,49.0,82.0,18.88
lieksa,FI,63.32,30.02,1571116257,30.31,90.0,61.0,5.36
canala,NC,-21.52,165.96,1571116258,77.0,50.0,20.0,12.75
bay roberts,CA,47.58,-53.28,1571116258,43.0,80.0,90.0,6.93
tasiilaq,GL,65.61,-37.64,1571116259,28.4,74.0,0.0,2.24
torbay,CA,47.66,-52.73,1571116259,43.0,80.0,90.0,6.93
faanui,PF,-16.48,-151.75,1571116259,77.95,84.0,6.0,18.17
borba,BR,-4.39,-59.59,1571116259,72.86,98.0,66.0,2.5
kenai,US,60.55,-151.26,1571116299,39.0,68.0,1.0,9.17
qaqortoq,GL,60.72,-46.03,1571116300,30.2,50.0,0.0,1.12
mount isa,AU,-20.73,139.49,1571116300,102.2,12.0,52.0,6.93
puerto santander,VE,8.35,-72.41,1571116300,78.8,83.0,40.0,2.24
la ronge,CA,55.1,-105.3,1571116300,33.8,86.0,90.0,8.05
yakymivka,UA,46.7,35.16,1571116301,59.36,52.0,0.0,4.4
hofn,IS,64.25,-15.21,1571116301,48.78,87.0,100.0,23.93
usinsk,RU,66,57.56,1571116301,34.5,95.0,100.0,13.44
russell,US,38.9,-98.86,1571116301,59.0,76.0,1.0,3.0
dhenkanal,IN,20.65,85.6,1571116302,86.0,62.0,20.0,1.12
luderitz,NA,-26.65,15.16,1571116302,60.8,63.0,0.0,9.17
vanimo,PG,-2.67,141.3,1571116302,84.15,69.0,95.0,8.67
cayenne,GF,4.94,-52.33,1571116302,73.4,100.0,75.0,3.35
namatanai,PG,-3.66,152.44,1571116302,84.22,66.0,96.0,3.52
lerwick,GB,60.15,-1.15,1571116303,50.0,93.0,58.0,5.82
nerchinskiy zavod,RU,51.31,119.61,1571116303,43.92,35.0,47.0,6.44
chuy,UY,-33.69,-53.46,1571116303,53.65,75.0,80.0,11.8
surt,LY,31.21,16.59,1571116303,71.94,81.0,13.0,7.82
tezu,IN,27.93,96.16,1571116304,85.48,39.0,0.0,3.34
iisalmi,FI,63.56,27.19,1571116304,33.8,94.0,20.0,8.05
ancud,CL,-41.87,-73.83,1571116304,48.2,76.0,100.0,2.24
mayumba,GA,-3.44,10.65,1571116305,75.99,89.0,91.0,3.17
sajanan,TN,37.06,9.24,1571116305,75.2,60.0,20.0,13.87
fukue,JP,35.03,136.69,1571116305,73.4,56.0,20.0,21.92
port elizabeth,US,39.31,-74.98,1571116305,60.01,93.0,1.0,4.51
nyagan,RU,62.14,65.43,1571116305,39.36,93.0,100.0,7.76
vao,EE,59.1,26.19,1571116306,36.86,92.0,20.0,3.17
chokurdakh,RU,70.62,147.9,1571116306,17.91,94.0,100.0,10.4
qaanaaq,GL,77.48,-69.36,1571116306,20.16,88.0,100.0,8.84
hamilton,CA,43.26,-79.87,1571116307,46.99,80.0,90.0,5.82
kisanga,CD,-11.72,27.4,1571116307,69.8,68.0,96.0,4.7
port moresby,PG,-9.47,147.16,1571116307,84.2,74.0,40.0,23.04
ambon,FR,47.55,-2.56,1571116307,57.0,87.0,35.0,9.17
mayskiy,RU,43.63,44.06,1571116308,63.19,32.0,0.0,2.98
hithadhoo,MV,-0.6,73.08,1571116308,78.96,86.0,100.0,17.81
longyearbyen,NO,78.22,15.63,1571116308,24.8,79.0,75.0,2.24
jieshi,CN,22.82,115.83,1571116308,82.99,55.0,46.0,1.01
marsh harbour,BS,26.54,-77.06,1571116308,78.35,64.0,55.0,7.52
kulhudhuffushi,MV,6.62,73.07,1571116309,83.57,70.0,84.0,6.05
shelburne,CA,44.08,-80.2,1571116309,44.6,88.0,90.0,4.7
avarua,CK,-21.21,-159.78,1571116309,73.4,78.0,84.0,8.05
yulara,AU,-25.24,130.99,1571116310,104.0,5.0,26.0,21.92
faya,SA,18.39,42.45,1571116310,66.2,36.0,30.0,11.41
mimoso do sul,BR,-21.07,-41.37,1571116310,64.74,73.0,0.0,1.93
coquimbo,CL,-29.95,-71.34,1571116310,55.4,76.0,20.0,1.81
cherskiy,RU,68.75,161.3,1571116311,13.6,85.0,96.0,4.08
flinders,AU,-34.58,150.85,1571116311,84.0,50.0,33.0,16.11
port alfred,ZA,-33.59,26.89,1571116311,66.99,75.0,26.0,5.01
pachperwa,IN,27.52,82.65,1571116311,84.83,51.0,0.0,2.81
lavrentiya,RU,65.58,-170.99,1571116312,36.03,77.0,100.0,22.19
road town,VG,18.42,-64.62,1571116312,82.0,78.0,1.0,6.93
new norfolk,AU,-42.78,147.06,1571116353,51.8,87.0,75.0,6.93
banda aceh,ID,5.56,95.32,1571116353,83.28,76.0,87.0,6.6
sabang,PH,13.8,121.11,1571116353,87.28,53.0,55.0,9.41
rio gallegos,AR,-51.62,-69.22,1571116353,37.4,79.0,14.0,5.82
henties bay,NA,-22.12,14.28,1571116353,63.0,87.0,75.0,5.99
mataura,NZ,-46.19,168.86,1571116354,55.0,81.0,0.0,11.99
rawson,AR,-43.3,-65.11,1571116354,45.97,78.0,93.0,17.77
sao felix do xingu,BR,-6.64,-51.99,1571116354,70.47,95.0,37.0,0.37
tessalit,ML,20.2,1.01,1571116354,81.18,23.0,0.0,5.66
thunder bay,CA,48.41,-89.26,1571116354,39.2,86.0,90.0,3.58
lompoc,US,34.64,-120.46,1571116355,60.01,81.0,1.0,12.27
osakarovka,KZ,50.56,72.58,1571116355,49.78,56.0,47.0,20.41
saint-augustin,CA,45.63,-73.98,1571116355,44.6,93.0,20.0,3.36
codrington,AU,-28.95,153.24,1571116355,84.2,51.0,75.0,9.17
kailua,US,21.39,-157.74,1571116356,82.4,69.0,20.0,9.17
iqaluit,CA,63.75,-68.52,1571116356,26.6,79.0,75.0,2.24
huilong,CN,31.15,106.5,1571116356,59.43,93.0,100.0,6.17
altrincham,GB,53.38,-2.35,1571116356,50.0,100.0,90.0,4.7
mollendo,PE,-17.03,-72.02,1571116357,58.21,90.0,29.0,7.58
rocha,UY,-34.48,-54.34,1571116357,48.4,79.0,100.0,8.01
fairbanks,US,64.84,-147.72,1571116357,27.0,58.0,1.0,8.05
pisco,PE,-13.71,-76.2,1571116358,59.0,82.0,0.0,1.51
talara,PE,-4.58,-81.27,1571116358,63.95,86.0,0.0,18.04
yerofey pavlovich,RU,53.97,121.97,1571116358,41.29,37.0,0.0,7.06
urucara,BR,-2.54,-57.76,1571116358,73.62,93.0,55.0,0.94
dubti,ET,11.74,41.09,1571116359,86.77,27.0,71.0,1.61
hambantota,LK,6.12,81.12,1571116359,86.0,79.0,75.0,3.36
saint-denis,FR,48.94,2.36,1571116359,57.2,87.0,90.0,5.82
mandurah,AU,-32.55,115.7,1571116359,68.0,39.0,75.0,12.75
barcelos,BR,-0.97,-62.93,1571116359,72.81,95.0,90.0,2.14
bonthe,SL,7.53,-12.5,1571116360,76.33,92.0,100.0,3.06
bambous virieux,MU,-20.34,57.76,1571116360,77.0,83.0,20.0,3.36
jinchang,CN,38.52,102.19,1571116360,44.78,59.0,100.0,6.98
san ramon,NI,12.92,-85.84,1571116361,65.75,97.0,100.0,0.45
douentza,ML,15.01,-2.95,1571116361,88.16,31.0,87.0,2.23
norman wells,CA,65.28,-126.83,1571116361,24.8,79.0,20.0,5.82
palmas,BR,-10.18,-48.33,1571116362,78.8,78.0,40.0,4.7
saint george,GR,39.45,22.34,1571116362,53.6,93.0,0.0,0.97
hirara,JP,24.8,125.28,1571116362,80.6,61.0,75.0,19.46
yerbogachen,RU,61.28,108.01,1571116362,35.98,97.0,100.0,7.79
sao joao dos patos,BR,-6.5,-43.7,1571116362,75.97,39.0,45.0,4.22
victoria,BN,5.28,115.24,1571116363,89.6,74.0,75.0,4.7
ostrovnoy,RU,68.05,39.51,1571116363,32.83,87.0,87.0,7.64
padang,ID,-0.92,100.36,1571116363,77.97,78.0,61.0,4.67
the valley,AI,18.22,-63.06,1571116364,81.0,84.0,73.0,3.0
fortuna,US,40.6,-124.16,1571116364,50.0,100.0,90.0,3.36
mushie,CD,-3.02,16.92,1571116364,73.4,93.0,100.0,3.71
portland,US,43.66,-70.25,1571116329,55.0,93.0,1.0,6.93
necochea,AR,-38.55,-58.74,1571116365,45.0,69.0,100.0,3.0
ouadda,CF,8.07,22.4,1571116365,73.67,82.0,38.0,1.97
pacifica,US,37.61,-122.49,1571116365,59.0,87.0,20.0,4.7
thompson,CA,55.74,-97.86,1571116405,32.0,88.0,90.0,5.82
valdivia,CL,-39.81,-73.25,1571116406,53.6,58.0,100.0,2.24
kutum,SD,14.2,24.66,1571116406,73.63,60.0,72.0,3.73
kendari,ID,-3.99,122.52,1571116406,88.11,50.0,72.0,8.29
siedlce,PL,52.17,22.28,1571116406,57.99,90.0,11.0,8.56
lincoln,GB,53.23,-0.54,1571116406,51.8,100.0,90.0,11.41
ewa beach,US,21.32,-158.01,1571116407,82.4,58.0,1.0,13.87
bathsheba,BB,13.22,-59.52,1571116407,82.4,74.0,20.0,16.11
te anau,NZ,-45.41,167.72,1571116407,50.94,86.0,68.0,3.13
dwarka,IN,28.58,77.04,1571116407,87.8,48.0,0.0,4.7
hun,BE,50.34,4.87,1571116407,59.0,93.0,20.0,10.29
vardo,US,39.62,-77.74,1571116408,53.6,93.0,1.0,2.95
marawi,PH,8,124.29,1571116408,84.99,79.0,51.0,5.99
orange,US,33.79,-117.85,1571116408,66.2,77.0,1.0,4.7
port blair,IN,11.67,92.75,1571116408,87.8,70.0,40.0,11.41
bangangte,CM,5.14,10.52,1571116408,67.05,99.0,100.0,1.93
dakar,SN,14.69,-17.45,1571116409,77.0,94.0,100.0,4.7
ossora,RU,59.24,163.07,1571116409,35.78,49.0,62.0,8.77
kaitangata,NZ,-46.28,169.85,1571116409,54.0,73.0,50.0,13.0
dinar,TR,38.07,30.16,1571116410,50.0,53.0,20.0,2.3
lodwar,KE,3.12,35.6,1571116410,85.55,46.0,31.0,13.63
ambanja,MG,-13.68,48.45,1571116410,75.2,88.0,40.0,2.24
saint-philippe,CA,45.36,-73.48,1571116410,46.4,93.0,20.0,3.36
manati,AL,41.76,19.67,1571116410,55.4,100.0,0.0,2.24
adrar,DZ,27.87,-0.29,1571116411,73.4,33.0,8.0,4.7
acapulco,MX,16.86,-99.88,1571116411,82.4,88.0,75.0,5.82
hami,CN,42.84,93.51,1571116411,62.94,20.0,0.0,6.89
kiunga,PG,-6.12,141.3,1571116411,89.58,53.0,66.0,3.21
maceio,BR,-9.67,-35.74,1571116411,71.6,94.0,75.0,4.7
kangaatsiaq,GL,68.31,-53.46,1571116411,26.42,82.0,100.0,13.7
mwingi,KE,-0.93,38.07,1571116412,74.97,51.0,26.0,4.85
siguiri,GN,11.42,-9.17,1571116412,72.75,87.0,18.0,2.95
samana,EC,0.12,-76.97,1571116412,68.7,95.0,32.0,1.7
alice springs,AU,-23.7,133.88,1571116413,102.2,7.0,93.0,6.93
brownsville,US,25.91,-97.49,1571116413,82.0,83.0,1.0,9.17
bilibino,RU,68.06,166.44,1571116413,14.63,91.0,100.0,1.05
anito,PH,12.45,125.29,1571116413,82.9,72.0,22.0,10.07
danbury,US,41.39,-73.45,1571116413,57.2,66.0,1.0,5.82
rohtak,IN,28.9,76.58,1571116414,86.0,48.0,0.0,4.7
gamba,CN,28.28,88.52,1571116414,39.76,30.0,0.0,6.44
magistralnyy,RU,56.17,107.45,1571116414,44.47,62.0,96.0,6.74
hays,US,38.88,-99.33,1571116414,57.99,76.0,1.0,3.5
sozimskiy,RU,59.74,52.25,1571116414,38.43,89.0,94.0,3.98
hovd,NO,63.83,10.7,1571116415,39.99,92.0,25.0,1.12
san vicente,EC,-0.59,-80.41,1571116415,73.4,88.0,90.0,11.41
shakawe,BW,-18.36,21.84,1571116415,78.64,19.0,1.0,9.86
chillicothe,US,39.33,-82.98,1571116415,46.99,100.0,1.0,2.83
grindavik,IS,63.84,-22.43,1571116416,50.0,87.0,90.0,34.45
sitka,US,37.17,-99.65,1571116416,61.0,57.0,0.0,8.01
bonavista,CA,48.65,-53.11,1571116416,42.01,82.0,78.0,1.99
los algarrobos,EC,-3.25,-79.94,1571116416,69.19,79.0,55.0,1.68
salinopolis,BR,-0.61,-47.36,1571116417,81.0,78.0,0.0,15.01
kieta,PG,-6.22,155.63,1571116417,83.43,75.0,13.0,5.95
svetlogorsk,RU,53.14,59.15,1571116457,44.87,73.0,100.0,12.64
namibe,AO,-15.19,12.15,1571116457,71.26,82.0,27.0,10.1
vestmannaeyjar,IS,63.44,-20.27,1571116458,46.94,83.0,100.0,42.44
sur,OM,22.57,59.53,1571116458,86.4,41.0,0.0,9.25
kaniama,CD,-7.57,24.18,1571116458,70.5,93.0,100.0,0.87
yar-sale,RU,66.83,70.83,1571116458,39.24,93.0,100.0,13.96
hualmay,PE,-11.1,-77.61,1571116458,56.05,90.0,60.0,2.69
ulladulla,AU,-35.36,150.48,1571116459,77.0,50.0,22.0,16.11
ilulissat,GL,69.22,-51.1,1571116459,21.2,57.0,63.0,11.41
santa fe,AR,-31.62,-60.7,1571116459,52.0,64.0,100.0,4.0
belyy yar,RU,53.6,91.39,1571116459,54.55,45.0,42.0,5.37
wundanyi,KE,-3.4,38.37,1571116459,75.58,60.0,5.0,6.18
sidi ali,DZ,36.1,0.42,1571116460,63.72,79.0,0.0,6.82
fort nelson,CA,58.81,-122.69,1571116460,33.8,80.0,90.0,6.93
sao filipe,CV,14.9,-24.5,1571116460,77.61,86.0,100.0,18.85
sinop,TR,42.03,35.15,1571116461,53.6,87.0,75.0,5.82
kavieng,PG,-2.57,150.8,1571116461,84.2,67.0,74.0,2.26
cidreira,BR,-30.17,-50.22,1571116461,59.67,85.0,100.0,20.37
shingu,JP,33.72,135.99,1571116461,75.2,47.0,20.0,19.46
chimbote,PE,-9.08,-78.59,1571116462,57.31,95.0,25.0,2.1
mindelo,PT,41.31,-8.72,1571116462,53.01,93.0,40.0,6.93
sechura,PE,-5.56,-80.82,1571116462,61.65,89.0,0.0,9.12
san cristobal,HN,14.68,-86.92,1571116462,64.09,95.0,100.0,2.5
cervo,BR,-22.19,-46.24,1571116462,61.11,76.0,3.0,4.28
nogliki,RU,51.8,143.14,1571116463,38.57,41.0,63.0,14.16
